"Title","Price","Area","Link"
"3 BHK Villa for Sale in Gera Planet Of Joy Kharadi Pune","3.30 Cr","2000 sqft","https://www.magicbricks.com/gera-planet-of-joy-kharadi-pune-pdpid-4d4235333234323631"
"2 BHK Apartment for Sale in Sancheti Mount N Glory  Kharadi Pune","1.18 Cr","896 sqft","https://www.magicbricks.com/sancheti-mount-n-glory-kharadi-pune-pdpid-4d4235303030333236"
"3 BHK Apartment for Sale in Duville Riverdale Grand Kharadi Pune","1.63 Cr","1463 sqft","https://www.magicbricks.com/duville-riverdale-grand-kharadi-pune-pdpid-4d4235333335323135"
"3 BHK Apartment for Sale in Gera Planet Of Joy Kharadi Pune","2.15 Cr","1241 sqft","https://www.magicbricks.com/gera-planet-of-joy-kharadi-pune-pdpid-4d4235333234323631"
"2 BHK Apartment for Sale in Gera Park View EON Free Zone Kharadi Pune","1.50 Cr","848 sqft","https://www.magicbricks.com/gera-park-view-eon-free-zone-pune-pdpid-4d4235303232313732"
"2 BHK Apartment for Sale in Vascon Forest County EON Free Zone Kharadi Pune","1.80 Cr","979 sqft","https://www.magicbricks.com/vascon-forest-county-eon-free-zone-pune-pdpid-4d4235303136393032"
"2 BHK Apartment for Sale in Gulmohar Queenstown Kharadi Pune","1.18 Cr","832 sqft","https://www.magicbricks.com/gulmohar-queenstown-kharadi-pune-pdpid-4d4235303231393830"
"2 BHK Apartment for Sale in Duville Riverdale Heights Kharadi Pune","95 Lac","750 sqft","https://www.magicbricks.com/duville-riverdale-heights-kharadi-pune-pdpid-4d4235303836303230"
"2 BHK Apartment for Sale in Colonnade Kharadi Pune","90 Lac","850 sqft","https://www.magicbricks.com/colonnade-kharadi-pune-pdpid-4d4235303031313433"
"3 BHK Apartment for Sale in Marvel Zephyr Kharadi Pune","3 Cr","1742 sqft","https://www.magicbricks.com/marvel-zephyr-kharadi-pune-pdpid-4d4235303030363739"
"3 BHK Apartment for Sale in Goel Ganga Serio Kharadi Pune","1.70 Cr","1080 sqft","https://www.magicbricks.com/goel-ganga-serio-kharadi-pune-pdpid-4d4235313330393037"
"2 BHK Apartment for Sale in Nyati Elysia EON Free Zone Kharadi Pune","1.11 Cr","820 sqft","https://www.magicbricks.com/nyati-elysia-eon-free-zone-pune-pdpid-4d4235303230303139"
"2 BHK Apartment for Sale in Ganga Constella Kharadi Pune","1.16 Cr","850 sqft","https://www.magicbricks.com/ganga-constella-kharadi-pune-pdpid-4d4235303031373736"
"3 BHK Apartment for Sale in Gera World of Joy Kharadi Pune","1.75 Cr","1050 sqft","https://www.magicbricks.com/gera-world-of-joy-kharadi-pune-pdpid-4d4235313236363739"
"2 BHK Apartment for Sale in Duville Riverdale Heights Kharadi Pune","1.15 Cr","690 sqft","https://www.magicbricks.com/duville-riverdale-heights-kharadi-pune-pdpid-4d4235303836303230"
"3 BHK Apartment for Sale in Ganga Liviano Kharadi Pune","2.45 Cr","1800 sqft","https://www.magicbricks.com/ganga-liviano-kharadi-pune-pdpid-4d4235313435343037"
"3 BHK Apartment for Sale in Vascon Forest County Kharadi Pune","2.60 Cr","1065 sqft","https://www.magicbricks.com/vascon-forest-county-kharadi-pune-pdpid-4d4235303136393032"
"3 BHK Apartment for Sale in Gera Song of Joy Phase 1 EON Free Zone Kharadi Pune","2.30 Cr","1500 sqft","https://www.magicbricks.com/gera-song-of-joy-phase-1-eon-free-zone-pune-pdpid-4d4235303732313738"
"2 BHK Apartment for Sale in Gera Trinity Towers EON Free Zone Kharadi Pune","1.50 Cr","1040 sqft","https://www.magicbricks.com/gera-trinity-towers-eon-free-zone-pune-pdpid-4d4235303232313730"
"2 BHK Apartment for Sale in Unique Youtopia Kharadi Pune","1.10 Cr","776 sqft","https://www.magicbricks.com/unique-youtopia-kharadi-pune-pdpid-4d4235333235313439"
"2 BHK Apartment for Sale in Nyati Elysia Kharadi Pune","1.15 Cr","815 sqft","https://www.magicbricks.com/nyati-elysia-kharadi-pune-pdpid-4d4235303230303139"
"3 BHK Apartment for Sale in Panchshil Towers Kharadi Gaon Kharadi Pune","4.18 Cr","2025 sqft","https://www.magicbricks.com/panchshil-towers-kharadi-gaon-pune-pdpid-4d4235303139383033"
"2 BHK Villa for Sale in EON Free Zone Kharadi Pune","85.7 Lac","793 sqft",""
"3 BHK Apartment for Sale in Gera World of Joy Kharadi Pune","2.25 Cr","1600 sqft","https://www.magicbricks.com/gera-world-of-joy-kharadi-pune-pdpid-4d4235313236363739"
"3 BHK Apartment for Sale in Goel Ganga Serio Kharadi Pune","1.90 Cr","1100 sqft","https://www.magicbricks.com/goel-ganga-serio-kharadi-pune-pdpid-4d4235313330393037"
"3 BHK Apartment for Sale in Guardian Eastern Meadows Kharadi Pune","1.30 Cr","1100 sqft","https://www.magicbricks.com/guardian-eastern-meadows-kharadi-pune-pdpid-4d4235303832353133"
